Province,Year,Sex,log_Rate,Treat,Post,Treat_x_Post,Control_UnemploymentRate,Time_Trend
British Columbia,2022,Men+,-3.4617146705772375,0,1,0,4.9,8
British Columbia,2023,Men+,-3.5036236603483655,0,1,0,5.2,9
British Columbia,2024,Men+,-3.514230252738337,0,1,0,5.5,10
Newfoundland and Labrador,2014,Women+,-5.079850363117729,1,0,0,10.2,0
Newfoundland and Labrador,2015,Women+,-5.384495062789089,1,0,0,10.4,1
Newfoundland and Labrador,2016,Women+,-5.212603848274007,1,0,0,10.7,2
Newfoundland and Labrador,2017,Women+,-5.080627665916291,1,0,0,11.3,3
Newfoundland and Labrador,2018,Women+,-5.347900866736865,1,1,1,10.9,4
Newfoundland and Labrador,2019,Women+,-5.176149732573829,1,1,1,9.8,5
Newfoundland and Labrador,2020,Women+,-5.493884150092012,1,1,1,10.6,6
Newfoundland and Labrador,2021,Women+,-5.175342304189228,1,1,1,9.7,7
Newfoundland and Labrador,2022,Women+,-5.350277105478748,1,1,1,8.8,8
Newfoundland and Labrador,2023,Women+,-5.072827314352703,1,1,1,7.9,9
Newfoundland and Labrador,2024,Women+,-5.109726196740486,1,1,1,7.5,10
Prince Edward Island,2014,Women+,-4.897839799950911,1,0,0,9.0,0
Prince Edward Island,2015,Women+,-4.885323992019081,1,0,0,9.3,1
Prince Edward Island,2016,Women+,-4.867534450455582,1,0,0,8.7,2
Prince Edward Island,2017,Women+,-5.288267030694535,1,0,0,8.3,3
Prince Edward Island,2018,Women+,-5.32544603393629,1,1,1,8.8,4
Prince Edward Island,2019,Women+,-4.936869143856646,1,1,1,6.7,5
Prince Edward Island,2020,Women+,-4.6443908991413725,1,1,1,10.8,6
Prince Edward Island,2021,Women+,-4.948759890378168,1,1,1,8.5,7
Prince Edward Island,2022,Women+,-4.705015520957807,1,1,1,7.2,8
Prince Edward Island,2023,Women+,-4.7535901911063645,1,1,1,5.8,9
Prince Edward Island,2024,Women+,-5.058366696917446,1,1,1,7.0,10
Nova Scotia,2014,Women+,-4.688006191567241,1,0,0,7.2,0
Nova Scotia,2015,Women+,-4.779963476361255,1,0,0,7.3,1
Nova Scotia,2016,Women+,-4.365643155423357,1,0,0,6.6,2
Nova Scotia,2017,Women+,-4.444749893147238,1,0,0,6.5,3
Nova Scotia,2018,Women+,-4.477757601355865,1,1,1,6.2,4
Nova Scotia,2019,Women+,-4.5145158177199605,1,1,1,6.2,5
Nova Scotia,2020,Women+,-4.612228550355537,1,1,1,9.1,6
Nova Scotia,2021,Women+,-4.340257221797587,1,1,1,7.4,7
Nova Scotia,2022,Women+,-4.209003815564801,1,1,1,5.7,8
Nova Scotia,2023,Women+,-4.206986198378066,1,1,1,5.7,9
Nova Scotia,2024,Women+,-4.604799747013676,1,1,1,5.6,10
New Brunswick,2014,Women+,-4.908971640319756,1,0,0,8.1,0
New Brunswick,2015,Women+,-4.9026257702668525,1,0,0,7.3,1
New Brunswick,2016,Women+,-4.5013957134859,1,0,0,6.8,2
New Brunswick,2017,Women+,-4.976733742420574,1,0,0,6.4,3
New Brunswick,2018,Women+,-4.9809687937477864,1,1,1,6.6,4
New Brunswick,2019,Women+,-4.502979245091544,1,1,1,6.8,5
New Brunswick,2020,Women+,-4.5988343675390055,1,1,1,8.5,6
New Brunswick,2021,Women+,-4.685725582726946,1,1,1,7.9,7
New Brunswick,2022,Women+,-4.813200099492253,1,1,1,6.1,8
New Brunswick,2023,Women+,-4.565339763190131,1,1,1,5.0,9
New Brunswick,2024,Women+,-4.505590033245764,1,1,1,5.6,10
Quebec,2014,Women+,-4.1897033033958655,1,0,0,6.6,0
Quebec,2015,Women+,-4.083849063634916,1,0,0,6.8,1
Quebec,2016,Women+,-4.23198571525462,1,0,0,6.1,2
Quebec,2017,Women+,-4.085212078658828,1,0,0,5.7,3
Quebec,2018,Women+,-4.167960301510789,1,1,1,5.0,4
Quebec,2019,Women+,-4.165290813242351,1,1,1,4.4,5
Quebec,2020,Women+,-4.163573812388796,1,1,1,8.7,6
Quebec,2021,Women+,-4.131298620797172,1,1,1,5.8,7
Quebec,2022,Women+,-4.282896668766692,1,1,1,4.0,8
Quebec,2023,Women+,-4.367663412307578,1,1,1,4.0,9
Quebec,2024,Women+,-4.315116883338169,1,1,1,4.9,10
Ontario,2014,Women+,-4.055020942843668,1,0,0,7.2,0
Ontario,2015,Women+,-3.9675192553137104,1,0,0,6.5,1
Ontario,2016,Women+,-4.021944532413535,1,0,0,6.3,2
Ontario,2017,Women+,-3.8933567185539357,1,0,0,5.8,3
Ontario,2018,Women+,-3.8751168529907343,1,1,1,5.7,4
Ontario,2019,Women+,-3.894708406249294,1,1,1,5.4,5
Ontario,2020,Women+,-3.91932141004179,1,1,1,10.0,6
Ontario,2021,Women+,-3.9281276073447327,1,1,1,8.2,7
Ontario,2022,Women+,-3.9045461436389233,1,1,1,5.7,8
Ontario,2023,Women+,-4.000023901764638,1,1,1,5.8,9
Ontario,2024,Women+,-3.932214312432851,1,1,1,6.5,10
Manitoba,2014,Women+,-4.668954112145642,1,0,0,5.5,0
Manitoba,2015,Women+,-4.658078841643493,1,0,0,5.8,1
Manitoba,2016,Women+,-4.470050230678431,1,0,0,5.5,2
Manitoba,2017,Women+,-4.602353723478517,1,0,0,5.0,3
Manitoba,2018,Women+,-4.515245478460105,1,1,1,5.5,4
Manitoba,2019,Women+,-4.433632380243477,1,1,1,4.7,5
Manitoba,2020,Women+,-4.628445587098049,1,1,1,7.8,6
Manitoba,2021,Women+,-4.691653645876229,1,1,1,6.5,7
Manitoba,2022,Women+,-4.654555411168834,1,1,1,4.5,8
Manitoba,2023,Women+,-4.679523663717139,1,1,1,4.8,9
Manitoba,2024,Women+,-4.644108053714512,1,1,1,5.0,10
Saskatchewan,2014,Women+,-4.5285125470967085,1,0,0,3.9,0
Saskatchewan,2015,Women+,-4.325970554217649,1,0,0,4.7,1
Saskatchewan,2016,Women+,-4.415549326712525,1,0,0,5.6,2
Saskatchewan,2017,Women+,-4.255067007212594,1,0,0,5.7,3
Saskatchewan,2018,Women+,-4.262318670607914,1,1,1,5.4,4
Saskatchewan,2019,Women+,-4.64189490925578,1,1,1,5.4,5
Saskatchewan,2020,Women+,-4.6162200221746765,1,1,1,7.8,6
Saskatchewan,2021,Women+,-4.360730034813372,1,1,1,5.7,7
Saskatchewan,2022,Women+,-4.544003750750604,1,1,1,3.8,8
Saskatchewan,2023,Women+,-4.324829520394678,1,1,1,4.4,9
Saskatchewan,2024,Women+,-4.523485506015549,1,1,1,5.1,10
Alberta,2014,Women+,-3.92117530783854,1,0,0,5.0,0
Alberta,2015,Women+,-3.9783980743730187,1,0,0,5.6,1
Alberta,2016,Women+,-4.0168425584655445,1,0,0,7.5,2
Alberta,2017,Women+,-3.916124173172361,1,0,0,7.5,3
Alberta,2018,Women+,-3.8649760019220465,1,1,1,6.2,4
Alberta,2019,Women+,-3.832418798090511,1,1,1,6.1,5
Alberta,2020,Women+,-3.7569380371492453,1,1,1,11.1,6
Alberta,2021,Women+,-3.924215046193508,1,1,1,8.5,7
Alberta,2022,Women+,-3.7370742029636044,1,1,1,6.0,8
Alberta,2023,Women+,-3.666958079001603,1,1,1,5.9,9
Alberta,2024,Women+,-3.8783866705687653,1,1,1,7.0,10
British Columbia,2014,Women+,-3.8106562071064243,1,0,0,6.1,0
British Columbia,2015,Women+,-3.779919164794809,1,0,0,5.6,1
British Columbia,2016,Women+,-3.852072684521632,1,0,0,5.5,2
British Columbia,2017,Women+,-3.9125654939135703,1,0,0,5.0,3
British Columbia,2018,Women+,-3.874194680386047,1,1,1,4.6,4
British Columbia,2019,Women+,-3.7447573489284047,1,1,1,4.9,5
British Columbia,2020,Women+,-3.7715842664210406,1,1,1,9.1,6
British Columbia,2021,Women+,-3.814336671470885,1,1,1,6.6,7
British Columbia,2022,Women+,-3.6983002565927627,1,1,1,4.4,8
British Columbia,2023,Women+,-3.8503561740332675,1,1,1,5.2,9
British Columbia,2024,Women+,-3.6967683648611356,1,1,1,5.7,10
