Province,Year,Sex,Control_LaborForce,Control_UnemploymentRate
Ontario,2015,Men+,3872400.0,7.1
Ontario,2015,Women+,3493600.0,6.5
Ontario,2016,Men+,3906000.0,6.8
Ontario,2016,Women+,3516000.0,6.3
Ontario,2017,Men+,3985800.0,6.3
Ontario,2017,Women+,3582500.0,5.8
Ontario,2018,Men+,4040800.0,5.6
Ontario,2018,Women+,3633400.0,5.7
Ontario,2019,Men+,4137800.0,5.7
Ontario,2019,Women+,3710200.0,5.4
Ontario,2020,Men+,4133899.9999999995,9.6
Ontario,2020,Women+,3671700.0,10.0
Ontario,2021,Men+,4254300.0,8.1
Ontario,2021,Women+,3805800.0,8.2
Ontario,2022,Men+,4330700.0,5.5
Ontario,2022,Women+,3890800.0,5.7
Ontario,2023,Men+,4476200.0,5.5
Ontario,2023,Women+,4007600.0,5.8
Ontario,2024,Men+,4637400.0,7.3
Ontario,2024,Women+,4117300.0,6.5
Prince Edward Island,2014,Men+,42000.0,12.4
Prince Edward Island,2014,Women+,40200.0,9.0
Prince Edward Island,2015,Men+,41800.0,12.0
Prince Edward Island,2015,Women+,39700.0,9.3
Prince Edward Island,2016,Men+,41800.0,12.7
Prince Edward Island,2016,Women+,39000.0,8.7
Prince Edward Island,2017,Men+,42700.0,11.5
Prince Edward Island,2017,Women+,39600.0,8.3
Prince Edward Island,2018,Men+,43400.0,11.1
Prince Edward Island,2018,Women+,41100.0,8.8
Prince Edward Island,2019,Men+,44100.0,11.1
Prince Edward Island,2019,Women+,41800.0,6.7
Prince Edward Island,2020,Men+,43700.0,10.5
Prince Edward Island,2020,Women+,41600.0,10.8
Prince Edward Island,2021,Men+,46400.0,11.0
Prince Edward Island,2021,Women+,42300.0,8.5
Prince Edward Island,2022,Men+,47000.0,8.3
Prince Edward Island,2022,Women+,44200.0,7.2
Prince Edward Island,2023,Men+,49900.0,8.4
Prince Edward Island,2023,Women+,46400.0,5.8
Prince Edward Island,2024,Men+,53200.0,8.8
Prince Edward Island,2024,Women+,47200.0,7.0
Quebec,2014,Men+,2305100.0,9.1
Quebec,2014,Women+,2059300.0000000002,6.6
Quebec,2015,Men+,2313200.0,8.5
Quebec,2015,Women+,2066199.9999999998,6.8
Quebec,2016,Men+,2308300.0,8.3
Quebec,2016,Women+,2072500.0,6.1
Quebec,2017,Men+,2342800.0,6.5
Quebec,2017,Women+,2092800.0000000002,5.7
Quebec,2018,Men+,2364300.0,5.9
Quebec,2018,Women+,2124800.0,5.0
Quebec,2019,Men+,2384300.0,5.6
Quebec,2019,Women+,2144900.0,4.4
Quebec,2020,Men+,2371400.0,9.1
Quebec,2020,Women+,2115500.0,8.7
Quebec,2021,Men+,2397700.0,6.4
Quebec,2021,Women+,2141700.0,5.8
Quebec,2022,Men+,2417300.0,4.6
Quebec,2022,Women+,2173500.0,4.0
Quebec,2023,Men+,2494800.0,4.9
Quebec,2023,Women+,2239600.0,4.0
Quebec,2024,Men+,2548100.0,5.7
Quebec,2024,Women+,2274600.0,4.9
Saskatchewan,2014,Men+,323000.0,3.9
Saskatchewan,2014,Women+,268600.0,3.9
Saskatchewan,2015,Men+,324300.0,5.6
Saskatchewan,2015,Women+,272300.0,4.7
Saskatchewan,2016,Men+,326800.0,7.1
Saskatchewan,2016,Women+,273000.0,5.6
Saskatchewan,2017,Men+,326300.0,7.0
Saskatchewan,2017,Women+,274800.0,5.7
Saskatchewan,2018,Men+,325400.0,6.7
Saskatchewan,2018,Women+,276800.0,5.4
Saskatchewan,2019,Men+,328100.0,5.6
Saskatchewan,2019,Women+,280100.0,5.4
Saskatchewan,2020,Men+,321800.0,8.7
Saskatchewan,2020,Women+,273000.0,7.8
Saskatchewan,2021,Men+,323000.0,7.2
Saskatchewan,2021,Women+,274100.0,5.7
Saskatchewan,2022,Men+,323800.0,5.3
Saskatchewan,2022,Women+,282200.0,3.8
Saskatchewan,2023,Men+,329000.0,5.0
Saskatchewan,2023,Women+,287100.0,4.4
Saskatchewan,2024,Men+,341900.0,5.7
Saskatchewan,2024,Women+,294900.0,5.1
