"Employment by class of worker, annual (x 1,000) 1 2"
"Frequency: Annual"
"Table: 14-10-0027-01 (formerly CANSIM 282-0012)"
"Release date: 2025-01-27"
"Geography: Canada, Province or territory"
""
""

,,,"Gender 5 6","Men+","Women+"
,,,"2022","4.2","3.0"
,,,"2023","5.4","3.8"
,,,"2024","6.9","3.2"
"Alberta",,,"2014","39.9","21.1"
,,,"2015","33.9","20.4"
,,,"2016","37.0","19.6"
,,,"2017","41.2","21.9"
,,,"2018","37.2","23.5"
,,,"2019","34.3","24.7"
,,,"2020","31.5","25.7"
,,,"2021","37.7","22.5"
,,,"2022","36.2","28.0"
,,,"2023","38.5","30.9"
,,,"2024","36.7","26.0"
"British Columbia",,,"2014","38.8","26.1"
,,,"2015","40.2","27.2"
,,,"2016","39.5","26.5"
,,,"2017","40.4","25.8"
,,,"2018","45.3","27.1"
,,,"2019","51.0","31.8"
,,,"2020","48.9","30.3"
,,,"2021","46.0","30.0"
,,,"2022","47.5","34.6"
,,,"2023","47.1","30.6"
,,,"2024","48.3","36.3"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are suppressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
3,"Excluding the territories."
4,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). Industry estimates in this table are based on the 2022 North American Industry Classification System (NAICS)."
5,"Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (for example, clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. LFS started collecting gender of person in 2022. Prior to 2022, LFS only collected information on sex of person (male or female), as declared by the respondent or recorded by the interviewer. The sex variable prior to 2022 and the two-category gender variable since 2022 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
6,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol. The category “Men+” includes men, as well as some non-binary persons, while the category “Women+” includes women, as well as some non-binary persons."



"How to cite: Statistics Canada. Table 14-10-0027-01  Employment by class of worker, annual (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002701
