"Labour force characteristics by gender and detailed age group, annual 1 2 3"
"Frequency: Annual"
"Table: 14-10-0327-01"
"Release date: 2025-01-24"
"Geography: Canada, Province or territory"
""
""

,,,"Gender 5 6","Men+","Women+"
,,,"2024","7.3","6.5"
"Manitoba",,,,"Persons in thousands",
,"Labour force 7",,"2014","355.8","309.1"
,,,"2015","360.2","316.3"
,,,"2016","364.6","314.5"
,,,"2017","366.3","319.1"
,,,"2018","375.0","319.9"
,,,"2019","378.9","320.1"
,,,"2020","374.6","317.3"
,,,"2021","382.8","327.1"
,,,"2022","384.4","336.2"
,,,"2023","398.4","344.7"
,,,"2024","412.7","353.5"
,,,,"Percent",
,"Unemployment rate 8",,"2014","5.6","5.5"
,,,"2015","5.6","5.8"
,,,"2016","6.6","5.5"
,,,"2017","5.6","5.0"
,,,"2018","6.4","5.5"
,,,"2019","5.9","4.7"
,,,"2020","8.4","7.8"
,,,"2021","6.4","6.5"
,,,"2022","4.5","4.5"
,,,"2023","5.0","4.8"
,,,"2024","5.9","5.0"
"Saskatchewan",,,,"Persons in thousands",
,"Labour force 7",,"2014","323.0","268.6"
,,,"2015","324.3","272.3"
,,,"2016","326.8","273.0"
,,,"2017","326.3","274.8"
,,,"2018","325.4","276.8"
,,,"2019","328.1","280.1"
,,,"2020","321.8","273.0"
,,,"2021","323.0","274.1"
,,,"2022","323.8","282.2"
,,,"2023","329.0","287.1"
,,,"2024","341.9","294.9"
,,,,"Percent",
,"Unemployment rate 8",,"2014","3.9","3.9"
,,,"2015","5.6","4.7"
,,,"2016","7.1","5.6"
,,,"2017","7.0","5.7"
,,,"2018","6.7","5.4"
,,,"2019","5.6","5.4"
,,,"2020","8.7","7.8"
,,,"2021","7.2","5.7"
,,,"2022","5.3","3.8"
,,,"2023","5.0","4.4"
,,,"2024","5.7","5.1"
"Alberta",,,,"Persons in thousands",
,"Labour force 7",,"2014","1,298.7","1,064.7"
,,,"2015","1,319.8","1,090.0"
,,,"2016","1,306.8","1,088.3"
,,,"2017","1,312.6","1,099.5"
,,,"2018","1,317.5","1,121.0"
,,,"2019","1,334.7","1,140.5"
,,,"2020","1,311.4","1,100.4"
,,,"2021","1,318.4","1,138.8"
,,,"2022","1,326.8","1,175.3"
,,,"2023","1,386.3","1,209.2"
,,,"2024","1,451.3","1,257.0"
,,,,"Percent",
,"Unemployment rate 8",,"2014","4.6","5.0"
,,,"2015","6.5","5.6"
,,,"2016","8.8","7.5"
,,,"2017","8.5","7.5"
,,,"2018","6.8","6.2"
,,,"2019","7.5","6.1"
,,,"2020","11.6","11.1"
,,,"2021","8.7","8.5"
,,,"2022","5.7","6.0"
,,,"2023","5.9","5.9"
,,,"2024","7.0","7.0"
"British Columbia",,,,"Persons in thousands",
,"Labour force 7",,"2014","1,306.2","1,179.2"
,,,"2015","1,339.5","1,191.7"
,,,"2016","1,376.6","1,247.9"
,,,"2017","1,415.6","1,290.7"
,,,"2018","1,432.5","1,304.7"
,,,"2019","1,471.7","1,345.1"
,,,"2020","1,464.6","1,316.5"
,,,"2021","1,512.0","1,360.4"
,,,"2022","1,513.9","1,397.1"
,,,"2023","1,565.4","1,438.5"
,,,"2024","1,622.4","1,463.5"
,,,,"Percent",
,"Unemployment rate 8",,"2014","6.4","6.1"
,,,"2015","6.6","5.6"
,,,"2016","6.6","5.5"
,,,"2017","5.6","5.0"
,,,"2018","4.7","4.6"
,,,"2019","4.8","4.9"
,,,"2020","9.2","9.1"
,,,"2021","6.5","6.6"
,,,"2022","4.9","4.4"
,,,"2023","5.2","5.2"
,,,"2024","5.5","5.7"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are suppressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"On April 5, 2019, this table replaced archived table 14-10-0018."
3,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
4,"Excluding the territories."
5,"Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. LFS started collecting gender of person in 2022. Prior to 2022, LFS only collected information on sex of person (male or female), as declared by the respondent or recorded by the interviewer. The sex variable prior to 2022 and the two-category gender variable since 2022 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
6,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol. The category “Men+” includes men, as well as some non-binary persons, while the category “Women+” includes women, as well as some non-binary persons."
7,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed. Estimates in thousands, rounded to the nearest hundred."
8,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, gender, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."



"How to cite: Statistics Canada. Table 14-10-0327-01  Labour force characteristics by gender and detailed age group, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032701
